id,Prefecture,Type,Start Date,End Date
1,北海道,E,16/4/2020,25/5/2020
1,北海道,M,9/5/2021,15/5/2021
1,北海道,E,16/5/2021,20/6/2021
1,北海道,M,21/6/2021,11/7/2021
1,北海道,M,2/8/2021,26/8/2021
1,北海道,E,27/8/2021,30/9/2021
1,北海道,M,27/1/2022,21/3/2022
2,青森,M,27/1/2022,21/3/2022
3,岩手,E,16/4/2020,14/5/2020
4,宮城,E,16/4/2020,14/5/2020
4,宮城,M,5/4/2021,11/5/2021
4,宮城,M,20/8/2021,26/8/2021
4,宮城,E,27/8/2021,12/9/2021
4,宮城,M,13/9/2021,30/9/2021
5,秋田,E,16/4/2020,14/5/2020
6,山形,M,27/1/2022,20/2/2022
7,福島,E,16/4/2020,14/5/2020
7,福島,M,8/8/2021,30/9/2021
7,福島,M,27/1/2022,6/3/2022
8,茨城,E,16/4/2020,14/5/2020
8,茨城,M,8/8/2021,19/8/2021
8,茨城,E,20/8/2021,30/9/2021
8,茨城,M,27/1/2022,20/2/2022
9,栃木,E,16/4/2020,14/5/2020
9,栃木,E,14/1/2021,7/2/2021
9,栃木,M,8/8/2021,19/8/2021
9,栃木,E,20/8/2021,30/9/2021
9,栃木,M,27/1/2022,21/3/2022
10,群馬,E,16/4/2020,14/5/2020
10,群馬,M,16/5/2021,13/6/2021
10,群馬,M,8/8/2021,19/8/2021
10,群馬,E,20/8/2021,30/9/2021
10,群馬,M,21/1/2022,21/3/2022
11,埼玉,E,7/4/2020,25/5/2020
11,埼玉,E,8/1/2021,21/3/2021
11,埼玉,M,20/4/2021,1/8/2021
11,埼玉,E,2/8/2021,30/9/2021
11,埼玉,M,21/1/2022,21/3/2022
12,千葉,E,7/4/2020,25/5/2020
12,千葉,E,8/1/2021,21/3/2021
12,千葉,M,20/4/2021,1/8/2021
12,千葉,E,2/8/2021,30/9/2021
12,千葉,M,21/1/2022,21/3/2022
13,東京,E,7/4/2020,25/5/2020
13,東京,E,8/1/2021,21/3/2021
13,東京,M,12/4/2021,24/4/2021
13,東京,E,25/4/2021,20/6/2021
13,東京,M,21/6/2021,11/7/2021
13,東京,E,12/7/2021,30/9/2021
13,東京,M,21/1/2022,21/3/2022
14,神奈川,E,7/4/2020,25/5/2020
14,神奈川,E,8/1/2021,21/3/2021
14,神奈川,M,20/4/2021,1/8/2021
14,神奈川,E,2/8/2021,30/9/2021
14,神奈川,M,21/1/2022,21/3/2022
15,新潟,M,21/1/2022,6/3/2022
16,富山,E,16/4/2020,14/5/2020
16,富山,M,20/8/2021,12/9/2021
17,石川,E,16/4/2020,14/5/2020
17,石川,M,16/5/2021,13/6/2021
17,石川,M,2/8/2021,30/9/2021
17,石川,M,27/1/2022,21/3/2022
18,福井,E,16/4/2020,14/5/2020
19,山梨,E,16/4/2020,14/5/2020
19,山梨,M,20/8/2021,12/9/2021
20,長野,M,27/1/2022,6/3/2022
21,岐阜,緊,16/4/2020,14/5/2020
21,岐阜,緊,14/1/2021,28/2/2021
21,岐阜,防,9/5/2021,20/6/2021
21,岐阜,防,20/8/2021,26/8/2021
21,岐阜,緊,27/8/2021,30/9/2021
21,岐阜,防,21/1/2022,21/3/2022
22,静岡,E,16/4/2020,14/5/2020
22,静岡,M,8/8/2021,19/8/2021
22,静岡,E,20/8/2021,30/9/2021
22,静岡,M,27/1/2022,21/3/2022
23,愛知,E,16/4/2020,14/5/2020
23,愛知,E,14/1/2021,28/2/2021
23,愛知,M,20/4/2021,11/5/2021
23,愛知,E,12/5/2021,20/6/2021
23,愛知,M,21/6/2021,11/7/2021
23,愛知,M,8/8/2021,26/8/2021
23,愛知,E,27/8/2021,30/9/2021
23,愛知,M,21/1/2022,21/3/2022
24,三重,緊,16/4/2020,14/5/2020
24,三重,防,9/5/2021,20/6/2021
24,三重,防,20/8/2021,26/8/2021
24,三重,緊,27/8/2021,30/9/2021
24,三重,防,21/1/2022,6/3/2022
25,滋賀,緊,16/4/2020,14/5/2020
25,滋賀,M,8/8/2021,26/8/2021
25,滋賀,E,27/8/2021,30/9/2021
26,京都,緊,16/4/2020,21/5/2020
26,京都,緊,14/1/2021,28/2/2021
26,京都,防,12/4/2021,24/4/2021
26,京都,緊,25/4/2021,20/6/2021
26,京都,防,21/6/2021,11/7/2021
26,京都,防,2/8/2021,19/8/2021
26,京都,緊,20/8/2021,30/9/2021
26,京都,防,27/1/2022,21/3/2022
27,大阪,E,7/4/2020,21/5/2020
27,大阪,E,14/1/2021,28/2/2021
27,大阪,M,5/4/2021,24/4/2021
27,大阪,E,25/4/2021,20/6/2021
27,大阪,M,21/6/2021,1/8/2021
27,大阪,E,2/8/2021,30/9/2021
27,大阪,M,27/1/2022,21/3/2022
28,兵庫,E,7/4/2020,21/5/2020
28,兵庫,E,14/1/2021,28/2/2021
28,兵庫,防,5/4/2021,24/4/2021
28,兵庫,緊,25/4/2021,20/6/2021
28,兵庫,防,21/6/2021,11/7/2021
28,兵庫,防,2/8/2021,19/8/2021
28,兵庫,緊,20/8/2021,30/9/2021
28,兵庫,防,27/1/2022,21/3/2022
29,奈良,E,16/4/2020,14/5/2020
30,和歌山,M,5/2/2022,6/3/2022
31,鳥取,E,16/4/2020,14/5/2020
32,島根,M,27/1/2022,20/2/2022
33,岡山,E,16/4/2020,14/5/2020
33,岡山,E,16/5/2021,20/6/2021
33,岡山,M,20/8/2021,26/8/2021
33,岡山,E,27/8/2021,12/9/2021
33,岡山,M,13/9/2021,30/9/2021
33,岡山,M,27/1/2022,6/3/2022
34,広島,E,16/4/2020,14/5/2020
34,広島,E,16/5/2021,20/6/2021
34,広島,M,20/8/2021,26/8/2021
34,広島,E,27/8/2021,30/9/2021
34,広島,M,9/1/2022,6/3/2022
35,山口,M,9/1/2022,20/2/2022
36,徳島,E,16/4/2020,14/5/2020
